"Name","Aura","CL","Slot","Price","Weight","Description","Requirements","Cost","Group","Source","AL","Int","Wis","Cha","Ego","Communication","Senses","Powers","MagicItems","Destruction","MinorArtifactFlag","MajorArtifactFlag","Abjuration","Conjuration","Divination","Enchantment","Evocation","Necromancy","Transmutation","AuraStrength","WeightValue","PriceValue","CostValue","Languages","BaseItem","LinkText","id"
"Amazing Tools Of Manufacture","faint transmutation",3,"none","12,000 gp","1 lb.","Tools of this type always appear to be of the highest quality and wrought of the finest materials, most often mithral, darkwood, and adamantine. In the hands of a casual wielder, these items simply appear to be magically enhanced masterwork tools for a specific Craft skill (determined randomly), granting a +4 circumstance bonus on such skill checks. However, in the hands of a craftsman with 6 or more ranks in the selected Craft skill, the greater power of the amazing tools of manufacture becomes apparent. The wielder may use the tools to create items using the Craft skill much more surely and quickly. The wielder may take raw materials with a value equal to half the price of an object to be crafted, and produce a finished object in as little as 1 hour for an item with a final cost of 2,000 gp or less. For objects with a final cost of more than 2,000 gp, the wielder can perform 2,000 gp worth of work in a single hour, but only once each day. Only a single skill check is required to successfully complete the item, made on the last day of crafting and gaining the +4 circumstance bonus granted by the tools.","Craft Wondrous Item, Master Craftsman","6,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",1,12000,6000,,,"NULL",1101
"Amulet Of Channeled Life","moderate transmutation",10,"neck","12,000 gp","1/2 lb.","This amulet consists of a pale translucent gem in a dull gray metal setting etched with ancient runes. When worn by an individual with the negative energy affinity racial trait, it alters the effects of positive energy on his body. When targeted by positive energy that heals living creatures, the wearer instead gains half the hit points the positive energy heals as temporary hit points. These temporary hit points go away after 10 minutes. This effect does not stack with life channel (see below) or other effects that convert healing positive energy to temporary hit points. This item does not actually transpose positive energy into negative energy, it just affects the way the wearer's body reacts to positive energy. Only a living creature can benefit from this amulet; it provides no benefit to undead.","Craft Wondrous Item, life channel","6,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"moderate",0.5,12000,6000,,,"NULL",1127
"Amulet Of Hidden Light","faint illusion",3,"neck","9,000 gp",0,"This large amulet crafted of rough-cut glass can, on command, shed light as a sunrod. Unlike a normal light source, creatures outside this area cannot see the amulet's light.","Craft Wondrous Item, light, invisibility","4,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"faint",0,9000,4500,,,"NULL",1133
"Bag Of Shadow Clouds","moderate illusion",7,"none","30,240 gp","1 lb.","Anyone peering into this bag of deep gray cloth sees nothing but empty blackness. Within the bag exists an extradimensional space linked to the Plane of Shadow. Three times per day, as a move action, the bearer can reach within the bag and pull out 1d4 semisolid shards of shadow. The bag's bearer can use each shard of shadow as a thrown weapon targeting a single 5-foot square. When it hits, it acts as a darkness spell, but only affecting one 5-foot square. As a move action, the bearer of the bag can move a shadow cloud up to 10 feet in any direction. Whether or not they are thrown, the shards of shadow and shadow clouds last 10 minutes before dissipating.","Craft Wondrous Item, darkness, shadow conjuration","15,120 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"moderate",1,30240,15120,,,"NULL",1179
"Black Feather Fan","faint evocation",5,"none","10,000 gp","1 lb.","This elaborate fan is made with a dozen black feathers set into a metal handle embossed with a stylized crest. The bearer can use it to create a gust of wind, whispering wind, or wind wall. The fan's effects can be used 3 times per day, in any combination.","Craft Wondrous Item, gust of wind, whispering wind, wind wall","5,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,1,0,0,"faint",1,10000,5000,,,"NULL",1160
"Book Of Marvelous Recipes","moderate conjuration",11,"none",28800,"3 lbs.","The pages of this thick and travel-worn leather book visibly rewrite themselves as a reader flips through them, creating a number of delicious recipes that seem to anticipate the current craving or culinary desires of the reader. The recipes can aid the reader in creating such dishes, allowing him to use the Profession (cook) skill untrained, or granting a +4 competence bonus on such checks if the reader is trained in that skill. Furthermore, once per day, this book can be used to enhance a meal the reader is cooking. When used in this way, it grants the meal being cooked the effects of a heroes' feast spell (caster level 11th).","Craft Wondrous Item, heroes' feast, the creator must have at least 4 ranks in Profession (cook)","14,400 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,1,0,0,0,0,0,"moderate",3,28800,14400,,,"NULL",1112
"Brooch Of Blending","faint transmutation",3,"neck","2,000 gp",0,"Occasionally, half-elves find it socially advantageous to blend in fully with either elves or humans. As a standard action, the wearer of this brooch can transform his features to appear either entirely elven or entirely human. The magic of this brooch actually changes the wearer's features physically, granting him a +20 circumstance bonus on Disguise checks to appear as a member of the selected race. The transformation does not otherwise alter the wearer's features, and those who know him recognize him without a Perception check. This change remains until the brooch is used again or removed. This change does not radiate magic and cannot be seen with detect magic, although true seeing does reveal the alteration. This item only functions for half-elves, but there are versions that exist for half-orcs as well.","Craft Wondrous Item, alter self, creator must be a half-elf","1,000 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",0,2000,1000,,,"NULL",1105
"Bubble Vault","faint transmutation",5,"none","1,500 gp",0,"This tiny pearl swells to form a 1-foot-diameter soap-like bubble when placed in water. Up to 5 cubic feet of goods can be placed inside the bubble vault. On command, the bubble sinks to the bottom of the water, automatically burying itself 1 foot deep in the bottom ground if there is mud or other loose material present. If the command word is spoken three times within 30 feet of the bubble, it rises to the surface of the water, at which time it can be opened and the items within it retrieved. Once opened, the bubble reverts to its pearl form for 24 hours. The bubble is watertight but does not otherwise magically protect or preserve its contents. If forced open, it has hardness 1 and 5 hit points.","Craft Wondrous Item, shrink item, unseen servant","750 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"faint",0,1500,750,,,"NULL",1169
"Daredevil Softpaws","faint enchantment",3,"feet","1,400 gp","1 lb.","This pair of magical softpaw boots (see above) allows the catfolk wearing them to gain extra maneuverability while moving through hazardous areas. As a free action, the wearer can click her heels together to grant herself a +5 competence bonus on Acrobatics checks made to move through threatened squares or to move through an enemy's space without provoking attacks of opportunity for up to 10 rounds per day. The rounds need not be consecutive. Furthermore, anytime the wearer of the boots successfully moves though the space of an enemy without provoking an attack of opportunity, she gains a +2 bonus on attack rolls against that enemy until the end of her turn.","Craft Wondrous Item, cat's grace","700 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,0,0,0,1,0,0,0,"faint",1,1400,700,,,"NULL",1125
"Darksire Amulet","faint abjuration",3,"neck","9,000 gp","1 lb.","This small iron locket contains some token-a scale, a shaving of a horn or claw, or lock of burning hair-from a fiend. When worn by a tiefling, if he has cold, electricity, or fire resistance, this amulet increases that resistance by 5. Furthermore, it provides a +4 insight bonus on Diplomacy skill checks made to influence evil outsiders.","Craft Wondrous Item, resist energy, creator must be a tiefling, half-fiend, or true fiend","4,500 gp","Wondrous Item","Advanced Race Guide",,,,,,,,,,,0,0,1,0,0,0,0,0,0,"faint",1,9000,4500,,,"NULL",1164
