"Name","Aura","CL","Slot","Price","Weight","Description","Requirements","Cost","Group","Source","AL","Int","Wis","Cha","Ego","Communication","Senses","Powers","MagicItems","Destruction","MinorArtifactFlag","MajorArtifactFlag","Abjuration","Conjuration","Divination","Enchantment","Evocation","Necromancy","Transmutation","AuraStrength","WeightValue","PriceValue","CostValue","Languages","BaseItem","LinkText","id"
"Adamantine Breastplate","no aura (nonmagical)",0,"armor","10,200 gp","30 lbs.","This nonmagical breastplate is made of adamantine, giving its wearer damage reduction of 2/-.",,,"Armor","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,0,"none",30,10200,0,,,"Adamantine Breastplate",305
"Amulet of Inescapable Location","moderate abjuration",10,"neck",,"1/2 lb.","This device appears to prevent location, scrying and detection, or influence by detect thoughts or telepathy, as per an amulet of proof against detection and location. Actually, the amulet gives the wearer a -10 penalty on all saves against divination spells.",,,"Cursed","PFRPG Core",,,,,,,,,"amulet of proof against detection and location",,0,0,1,0,0,0,0,0,0,"moderate",0.5,0,0,,,"Amulet of Inescapable Location",277
"Armor of Arrow Attraction","strong abjuration",16,"body",,"50 lbs.","Magical analysis indicates that this armor is a normal suit of +3 full plate. The armor works normally with regard to melee attacks but actually attracts ranged weapons. The wearer takes a -15 penalty to AC against ranged weapons. The true nature of the armor does not reveal itself until the character is fired upon in earnest.",,,"Cursed","PFRPG Core",,,,,,,,,"+3 full plate",,0,0,1,0,0,0,0,0,0,"strong",50,0,0,,,"Armor of Arrow Attraction",278
"Armor of Rage","strong necromancy",16,"body",,"50 lbs.","This armor is similar in appearance to armor of command and functions as a suit of +1 full plate. However, when it is worn, the armor causes the character to take a -4 penalty to Charisma. All unfriendly characters within 300 feet have a +1 morale bonus on attack rolls against her. The effect is not noticeable to the wearer or those affected. In other words, the wearer does not immediately notice that donning the armor is the cause of her problems, nor do foes understand the reason for the depth of their enmity.",,,"Cursed","PFRPG Core",,,,,,,,,"armor of command, +1 full plate",,0,0,0,0,0,0,0,1,0,"strong",50,0,0,,,"Armor of Rage",279
"Axe of the Dwarvish Lords","strong conjuration and transmutation",20,"none",,"12 lbs.","This is a +6 keen throwing goblinoid bane dwarven waraxe. Any dwarf who holds it doubles the range of his or her darkvision. Any nondwarf who grasps the Axe takes 4 points of temporary Charisma damage; these points cannot be healed or restored in any way while the Axe is held. The current owner of the Axe gains a +10 bonus on Craft (armor, jewelry, stonemasonry, traps, and weapons) checks. The wielder of the Axe can summon an elder earth elemental (as summon monster IX; duration 20 rounds) once per week.",,,"Artifact","PFRPG Core",,,,,,,,,,"The rusts away to nothing if it is ever used by a goblin to behead a dwarven king.",0,1,0,1,0,0,0,0,1,"strong",12,0,0,,,"NULL",1028
"Bag of Devouring","strong conjuration",17,"none",,"15 lbs.","This bag appears to be an ordinary sack. Detection for magical properties makes it seem as if it were a bag of holding. The sack is, however, something entirely different and more insidious. It is-in fact, one of the feeding orifices of an extradimensional creature. Any substance of animal or vegetable nature is subject to ""swallowing'' if thrust within the bag. The bag of devouring is 90% likely to ignore any initial intrusion, but anytime thereafter that it senses living flesh within (such as if someone reaches into the bag to pull something out), it is 60% likely to close around the offending member and attempt to draw the whole victim in. The bag has a +8 bonus on combat maneuver checks made to grapple. If it pins a creature, it pulls them inside as a free action. The bag has CMD of 18 for those attempting to break free. The bag can hold up to 30 cubic feet of matter. It acts as a bag of holding type I, but each hour it has a 5% cumulative chance of swallowing the contents and then spitting the stuff out in some nonspace or on some other plane. Creatures drawn within are consumed in 1 round. The bag destroys the victim's body and prevents any form of raising or resurrection that requires part of the corpse. There is a 50% chance that a wish, miracle, or true resurrection spell can restore a devoured victim to life. Check once for each destroyed creature. If the check fails, the creature cannot be brought back to life by mortal magic.",,,"Cursed","PFRPG Core",,,,,,,,,"bag of holding (any type)",,0,0,0,1,0,0,0,0,0,"strong",15,0,0,,,"Bag of Devouring",280
"Boat, Folding","moderate transmutation",6,"none","7,200 gp","4 lbs.","A folding boat looks like a small wooden box about 12 inches long, 6 inches wide, and 6 inches deep when it is inactive. In this mode, it can be used to store items just like any other box. Yet when the proper command word is given, the box unfolds itself rapidly in the space of a single round to form a boat 10 feet long, 4 feet wide, and 2 feet in depth. A second command word causes it to unfold even further into a ship 24 feet long, 8 feet wide, and 6 feet deep. The folding boat cannot unfold if there isn't enough open space for it to occupy once unfolded. Any objects formerly stored in the box now rest inside the boat or ship. In its smaller form, the boat has one pair of oars, an anchor, a mast, and a lateen sail. In its larger form, the boat has a deck, single rowing seats, five sets of oars, a rudder, an anchor, a deck cabin, and a mast with a square sail. The boat can hold 4 people comfortably, while the ship carries 15 with ease. A third word of command causes the boat or ship to fold itself into a box once again, but only when it is unoccupied.","Craft Wondrous Item, fabricate, creator must have 2 ranks in the Craft (ships) skill","3,600 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"moderate",4,7200,3600,,,"Boat; Folding",118
"Book of Infinite Spells","strong (all schools)",18,"none",,"3 lbs.","This work bestows upon any character of any class the ability to use the spells within its pages. However, any character not already able to use spells gains one negative level for as long as the book is in her possession or while she uses its power. A book of infinite spells contains 1d8+22 pages. The nature of each page is determined by a d% roll: 01-50, arcane spell; 51-100, divine spell. Determine the exact spell randomly. Once a page is turned, it can never be flipped back-paging through a book of infinite spells is a one-way trip. If the book is closed, it always opens again to the page it was on before the book was closed. When the last page is turned, the book vanishes. Once per day the owner of the book can cast the spell to which the book is opened. If that spell happens to be one that is on the character's class spell list, she can cast it up to four times per day. The pages cannot be ripped out without destroying the book. Similarly, the spells cannot be cast as scroll spells, nor can they be copied into a spellbook-their magic is bound up permanently within the book itself. The owner of the book need not have the book on her person in order to use its power. The book can be stored in a place of safety while the owner is adventuring and still allow its owner to cast spells by means of its power. Each time a spell is cast, there is a chance that the energy connected with its use causes the page to magically turn despite all precautions. The chance of a page turning depends on the spell the page contains and what sort of spellcaster the owner is. Chance of Page Condition Turning Caster employing a spell usable 10% by own class and level Caster employing a spell not usable 20% by own class and level Nonspellcaster employing divine spell 25% Nonspellcaster employing arcane spell 30% Treat each spell use as if a scroll were being employed, for purposes of determining casting time, spell failure, and so on.",,,"Artifact","PFRPG Core",,,,,,,,,,"The book of infinite spells can be destroyed when the current page contains the erase spell, by casting the spell on the book itself.",1,0,0,0,0,0,0,0,0,"strong",3,0,0,,,"NULL",1021
"Boots of Dancing","strong enchantment",16,"feet",,"1 lb.","These boots appear and function as one of the other kinds of magic boots. When the wearer is in (or fleeing from) melee combat, boots of dancing impede movement, making him behave as if irresistible dance had been cast upon him. Only a remove curse spell enables the wearer to be rid of the boots once their true nature is revealed.",,,"Cursed","PFRPG Core",,,,,,,,,"boots of elvenkind, boots of levitation, boots of speed, boots of striding and springing, boots of teleportation, boots of the winterlands, winged boots",,0,0,0,0,0,1,0,0,0,"strong",1,0,0,,,"Boots of Dancing",281
"Boots, Winged","moderate transmutation",8,"feet","16,000 gp","1 lb.","These boots appear to be ordinary footgear. On command, they sprout wings at the heel and let the wearer fly, without having to maintain concentration, as if affected by a fly spell (including a +4 bonus on Fly skill checks). He can fly three per times day for up to 5 minutes per flight.","Craft Wondrous Item, fly","8,000 gp","Wondrous Item","PFRPG Core",,,,,,,,,,,0,0,0,0,0,0,0,0,1,"moderate",1,16000,8000,,,"Boots; Winged",125
